# base_kpoint_direct 0.0 0.0 0.0
# effective_genFröhlich_mass 0.39992957651412864
# n_degenerate 4
# lebedev_order 21
# sphere_radius 0.0014469931558637238
# 
# weight kx ky kz mass1 mass2 mass3 mass4
7.939343745253053808e-02 3.007935951377015416e-01 6.743601460362765865e-01 -6.743601460362765865e-01 4.575419560878691838e-01 4.575370382432412120e-01 3.109313325161878749e-01 3.109332980412753411e-01
7.939343745253053808e-02 -3.007935951377015416e-01 -6.743601460362765865e-01 6.743601460362765865e-01 4.575419560878691838e-01 4.575370382432412120e-01 3.109313325161878749e-01 3.109332980412753411e-01
7.939343745253053808e-02 -3.007935951377015416e-01 6.743601460362765865e-01 -6.743601460362765865e-01 4.575422451378411415e-01 4.575371785989535423e-01 3.109313576878852681e-01 3.109333548660536684e-01
7.939343745253053808e-02 3.007935951377015416e-01 -6.743601460362765865e-01 -6.743601460362765865e-01 4.575396528043021438e-01 4.575394090707793904e-01 3.109327529676494950e-01 3.109321622945042662e-01
7.939343745253053808e-02 -3.007935951377015416e-01 -6.743601460362765865e-01 -6.743601460362765865e-01 4.575360415584977525e-01 4.575434081088690097e-01 3.109344351571788900e-01 3.109303266868859716e-01
7.793248373075363500e-02 4.318910696719410192e-01 4.318910696719410192e-01 7.917955593934921099e-01 4.765179398481999007e-01 4.765252361619277677e-01 3.027397910742631870e-01 3.027364304870973633e-01
7.793248373075363500e-02 -4.318910696719410192e-01 4.318910696719410192e-01 7.917955593934921099e-01 4.765226184179281455e-01 4.765199849308277558e-01 3.027378542075185863e-01 3.027384420653210229e-01
7.793248373075363500e-02 4.318910696719410192e-01 -4.318910696719410192e-01 7.917955593934921099e-01 4.765225664833852570e-01 4.765203940616063449e-01 3.027377036274219724e-01 3.027382405188727699e-01
7.793248373075363500e-02 4.318910696719410192e-01 4.318910696719410192e-01 -7.917955593934921099e-01 4.765237110340242999e-01 4.765188192534980383e-01 3.027372495898443816e-01 3.027388556727713675e-01
7.793248373075363500e-02 -4.318910696719410192e-01 -4.318910696719410192e-01 7.917955593934921099e-01 4.765237110340242999e-01 4.765188192534980383e-01 3.027372495898443816e-01 3.027388556727713675e-01
