# base_kpoint_direct 0.0 0.0 0.0
# effective_genFröhlich_mass 0.5109478137187771
# n_degenerate 3
# lebedev_order 21
# sphere_radius 0.0014469931558637238
# 
# weight kx ky kz mass1 mass2 mass3
7.939343745253053808e-02 -6.743601460362764755e-01 -3.007935951377014860e-01 6.743601460362764755e-01 5.215152958231091818e-01 4.164786647569909128e-01 2.843181916012624821e-01
7.939343745253053808e-02 -6.743601460362764755e-01 3.007935951377014860e-01 -6.743601460362764755e-01 5.215152932798562402e-01 4.164786616744131087e-01 2.843181912263898492e-01
7.939343745253053808e-02 6.743601460362764755e-01 -3.007935951377014860e-01 -6.743601460362764755e-01 5.215152935016590385e-01 4.164786570363194773e-01 2.843181928043049811e-01
7.939343745253053808e-02 -6.743601460362764755e-01 -3.007935951377014860e-01 -6.743601460362764755e-01 5.215152888343411730e-01 4.164786621758241880e-01 2.843181904018296513e-01
7.939343745253053808e-02 6.743601460362764755e-01 3.007935951377014860e-01 6.743601460362764755e-01 5.215152888343411730e-01 4.164786621758241880e-01 2.843181904018296513e-01
7.939343745253053808e-02 3.007935951377014860e-01 6.743601460362764755e-01 6.743601460362764755e-01 5.215152998815241192e-01 4.164786599947266632e-01 2.843181930936857227e-01
7.939343745253053808e-02 -3.007935951377014860e-01 6.743601460362764755e-01 6.743601460362764755e-01 5.215153103504863719e-01 4.164786618738361423e-01 2.843181919728294260e-01
7.939343745253053808e-02 3.007935951377014860e-01 -6.743601460362764755e-01 6.743601460362764755e-01 5.215153000378727199e-01 4.164786652785399945e-01 2.843181950681315517e-01
7.939343745253053808e-02 3.007935951377014860e-01 6.743601460362764755e-01 -6.743601460362764755e-01 5.215153049726324319e-01 4.164786577655261723e-01 2.843181905943574783e-01
7.939343745253053808e-02 -3.007935951377014860e-01 -6.743601460362764755e-01 6.743601460362764755e-01 5.215153049726324319e-01 4.164786577655261723e-01 2.843181905943574783e-01
7.939343745253053808e-02 -3.007935951377014860e-01 6.743601460362764755e-01 -6.743601460362764755e-01 5.215153000378727199e-01 4.164786652785399945e-01 2.843181950681315517e-01
